model,dataset,condition,score_key,successes,total,rate,cutoff_rate,accuracy_excluding_cutoffs,accuracy_delta_excluding_cutoffs,sample_interval_low,sample_interval_high,problem_count,problem_mean,problem_interval_low,problem_interval_high,min_samples_per_problem,max_samples_per_problem,mean_samples_per_problem,failures,cutoffs,max_tokens,max_model_length,temperature,top_p,n_samples,num_distractors,file,path
claude-opus-4-6,HuggingFaceH4_aime_2024,split_reversal,correct,4,120,0.03333333333333333,0.0,0.03333333333333333,0.0,0.013037340166920576,0.0825815794852803,30,0.03333333333333333,0.0,0.1,4,4,4.0,116,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_split_reversal_20260305_215825.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/split_reversal/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_split_reversal_20260305_215825.json
claude-opus-4-6,HuggingFaceH4_aime_2024,word_reversal,correct,64,120,0.5333333333333333,0.0,0.5333333333333333,0.0,0.4444262910579696,0.6201723575383017,30,0.5333333333333333,0.36666666666666664,0.7,4,4,4.0,51,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_word_reversal_20260309_000512.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/word_reversal/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_word_reversal_20260309_000512.json
claude-opus-4-6,HuggingFaceH4_aime_2024,wrappers,correct,116,120,0.9666666666666667,0.0,0.9666666666666667,0.0,0.9174184205147198,0.9869626598330794,30,0.9666666666666667,0.9333333333333333,0.9916666666666667,4,4,4.0,0,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_wrappers_20260309_000512.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/wrappers/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_wrappers_20260309_000512.json
claude-opus-4-6,MathArena_aime_2025,baseline:compound,correct,206,210,0.9809523809523809,0.0,0.9809523809523809,0.0,0.95205587422257,0.992568558067499,30,0.9809523809523809,0.9523809523809524,1.0,7,7,7.0,0,0,,,,,,,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/baseline/results/claude-opus-4-6/MathArena_aime_2025/compound/claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json
claude-opus-4-6,MathArena_aime_2025,baseline:perturb,correct,206,210,0.9809523809523809,0.0,0.9809523809523809,0.0,0.95205587422257,0.992568558067499,30,0.9809523809523809,0.9523809523809524,1.0,7,7,7.0,0,0,,,,,,,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/baseline/results/claude-opus-4-6/MathArena_aime_2025/perturb/claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json
claude-opus-4-6,MathArena_aime_2025,compound:d3,correct,167,210,0.7952380952380952,0.0,0.7952380952380952,0.0,0.7355890095097872,0.8442794538761955,30,0.7952380952380953,0.6714285714285714,0.9095238095238095,7,7,7.0,0,0,,,,,,3,claude-opus-4-6_MathArena_aime_2025_compound_20260501_163256.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/compound/results/claude-opus-4-6/MathArena_aime_2025/claude-opus-4-6_MathArena_aime_2025_compound_20260501_163256.json
claude-opus-4-6,MathArena_aime_2025,interleaved_context_line,correct,236,240,0.9833333333333333,0.0,0.9833333333333333,0.0,0.9579371621145085,0.9935001644122201,30,0.9833333333333333,0.9583333333333334,1.0,8,8,8.0,0,0,,,,,,,claude-opus-4-6_MathArena_aime_2025_interleaved_context_line_20260501_120528.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/interleaved_context_line/results/claude-opus-4-6/MathArena_aime_2025/claude-opus-4-6_MathArena_aime_2025_interleaved_context_line_20260501_120528.json
claude-opus-4-6,MathArena_aime_2025,interleaved_context_symbol,correct,0,240,0.0,0.0,0.0,0.0,0.0,0.015754489799935698,30,0.0,0.0,0.0,8,8,8.0,240,0,,,,,,,claude-opus-4-6_MathArena_aime_2025_interleaved_context_symbol_20260501_120528.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/interleaved_context_symbol/results/claude-opus-4-6/MathArena_aime_2025/claude-opus-4-6_MathArena_aime_2025_interleaved_context_symbol_20260501_120528.json
claude-opus-4-6,MathArena_aime_2025,interleaved_context_word,correct,185,240,0.7708333333333334,0.0,0.7708333333333334,0.0,0.7136398864226179,0.8194930982690836,30,0.7708333333333334,0.6541666666666667,0.875,8,8,8.0,51,0,,,,,,,claude-opus-4-6_MathArena_aime_2025_interleaved_context_word_20260501_120528.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/interleaved_context_word/results/claude-opus-4-6/MathArena_aime_2025/claude-opus-4-6_MathArena_aime_2025_interleaved_context_word_20260501_120528.json
claude-opus-4-6,MathArena_aime_2025,not_not,correct,234,240,0.975,0.0,0.975,0.0,0.9465400421995467,0.9884931924905143,30,0.975,0.9458333333333333,0.9958333333333333,8,8,8.0,0,0,,,,,,,claude-opus-4-6_MathArena_aime_2025_not_not_20260501_120528.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/not_not/results/claude-opus-4-6/MathArena_aime_2025/claude-opus-4-6_MathArena_aime_2025_not_not_20260501_120528.json
claude-opus-4-6,MathArena_aime_2025,opposites,correct,135,240,0.5625,0.0,0.5625,0.0,0.49924134483007926,0.6237893439449289,30,0.5625,0.3958333333333333,0.7333333333333333,8,8,8.0,104,0,,,,,,,claude-opus-4-6_MathArena_aime_2025_opposites_20260501_123735.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/opposites/results/claude-opus-4-6/MathArena_aime_2025/claude-opus-4-6_MathArena_aime_2025_opposites_20260501_123735.json
claude-opus-4-6,MathArena_aime_2025,rail_fence,correct,0,240,0.0,0.0,0.0,0.0,0.0,0.015754489799935698,30,0.0,0.0,0.0,8,8,8.0,240,0,,,,,,,claude-opus-4-6_MathArena_aime_2025_rail_fence_20260501_123735.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/rail_fence/results/claude-opus-4-6/MathArena_aime_2025/claude-opus-4-6_MathArena_aime_2025_rail_fence_20260501_123735.json
claude-opus-4-6,MathArena_aime_2025,rectangle_perimeter,correct,0,240,0.0,0.0,0.0,0.0,0.0,0.015754489799935698,30,0.0,0.0,0.0,8,8,8.0,240,0,,,,,,,claude-opus-4-6_MathArena_aime_2025_rectangle_perimeter_20260501_123735.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/rectangle_perimeter/results/claude-opus-4-6/MathArena_aime_2025/claude-opus-4-6_MathArena_aime_2025_rectangle_perimeter_20260501_123735.json
claude-opus-4-6,MathArena_aime_2025,sentence_reversal,correct,235,240,0.9791666666666666,0.0,0.9791666666666666,0.0,0.9521659449970519,0.9910693356113429,30,0.9791666666666666,0.95,1.0,8,8,8.0,0,0,,,,,,,claude-opus-4-6_MathArena_aime_2025_sentence_reversal_20260501_123735.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/sentence_reversal/results/claude-opus-4-6/MathArena_aime_2025/claude-opus-4-6_MathArena_aime_2025_sentence_reversal_20260501_123735.json
claude-opus-4-6,MathArena_aime_2025,snake_horizontal,correct,0,240,0.0,0.0,0.0,0.0,0.0,0.015754489799935698,30,0.0,0.0,0.0,8,8,8.0,240,0,,,,,,,claude-opus-4-6_MathArena_aime_2025_snake_horizontal_20260501_145916.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/snake_horizontal/results/claude-opus-4-6/MathArena_aime_2025/claude-opus-4-6_MathArena_aime_2025_snake_horizontal_20260501_145916.json
claude-opus-4-6,MathArena_aime_2025,snake_vertical,correct,3,240,0.0125,0.0,0.0125,0.0,0.004259990188158945,0.036100637366778356,30,0.0125,0.0,0.03333333333333333,8,8,8.0,237,0,,,,,,,claude-opus-4-6_MathArena_aime_2025_snake_vertical_20260501_145916.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/snake_vertical/results/claude-opus-4-6/MathArena_aime_2025/claude-opus-4-6_MathArena_aime_2025_snake_vertical_20260501_145916.json
